Date,JKS.csv,^SPX.csv,ARWR.csv,PDD.csv,GNRC.csv,JD.csv,IDXX.csv,CUB.csv,CPRT.csv
2020-12-16,61.65,3701.17,77.63,145.47,220.44,81.77,467.58,61.82,120.92
2020-12-15,63.25,3694.62,76.45,142.03,224.4,79.5,464.96,63.49,121.36
2020-12-14,53.7,3647.49,74.91,142.12,218.06,79.96,458.17,62.26,118.29
2020-12-11,53.0,3663.46,74.06,147.65,217.28,82.61,456.23,62.85,116.98
2020-12-10,57.5,3668.1,74.005,154.34,211.27,81.71,454.27,62.67,114.75
2020-12-09,57.86,3672.82,68.9,147.57,209.43,81.82,449.88,62.56,114.08
2020-12-08,62.42,3702.25,68.18,157.49,216.87,82.01,460.69,63.49,115.56
2020-12-07,58.36,3691.96,65.85,146.79,208.91,83.49,459.36,62.78,114.61
2020-12-04,61.4,3699.12,65.29,146.36,205.26,85.19,457.15,62.61,112.09
2020-12-03,61.38,3666.72,63.98,145.16,207.58,86.29,460.07,60.33,115.0
2020-12-02,63.07,3669.01,64.72,144.06,210.74,84.38,462.59,60.23,113.3
2020-12-01,64.6,3662.45,62.64,136.54,213.02,85.36,467.86,59.58,115.25
2020-11-30,69.04,3621.63,62.53,138.81,215.6,85.35,460.98,58.56,115.45
2020-11-27,72.37,3638.35,62.99,144.05,221.4,89.41,454.23,61.05,115.21
2020-11-25,68.51,3629.65,57.02,135.9,216.51,88.23,446.48,60.91,114.76
2020-11-24,67.04,3635.41,60.39,143.94,213.84,89.82,446.83,62.16,113.2
2020-11-23,67.05,3577.59,68.2,141.05,219.63,87.56,459.79,60.83,113.15
2020-11-20,62.71,3557.54,68.8,143.55,222.97,87.74,464.29,60.25,114.47
2020-11-19,59.23,3581.87,68.92,137.66,216.75,86.04,457.19,64.09,113.83
2020-11-18,59.44,3567.79,68.36,132.38,211.94,86.25,444.06,65.03,115.97
2020-11-17,61.7,3609.53,70.79,132.37,210.09,86.97,455.85,65.06,116.19
2020-11-16,62.47,3626.91,69.07,142.03,213.19,85.26,455.37,65.21,116.05
2020-11-13,64.5,3585.15,68.54,151.29,215.97,92.08,453.64,65.85,117.71
2020-11-12,63.44,3537.01,69.23,134.21,219.78,86.38,449.22,64.44,117.33
2020-11-11,67.76,3572.66,69.56,111.46,225.29,82.84,455.06,63.9,117.8
2020-11-10,61.17,3545.53,68.68,103.09,217.95,80.08,441.23,63.93,116.99
2020-11-09,62.49,3550.5,68.1,106.14,220.54,84.86,436.45,59.78,121.33
2020-11-06,65.33,3509.44,66.45,114.53,233.04,92.49,478.1,57.64,123.72
2020-11-05,72.35,3510.45,65.97,113.07,230.73,91.59,467.97,60.07,123.95
2020-11-04,56.33,3443.44,64.34,110.26,223.5,89.31,469.36,60.63,121.34
2020-11-03,64.12,3369.16,59.47,97.72,221.54,82.69,444.1,61.0,116.38
2020-11-02,62.77,3310.24,58.22,91.62,212.57,82.32,431.05,59.84,113.4
2020-10-30,58.3,3269.96,57.3,89.98,210.15,81.52,424.82,59.11,110.36
2020-10-29,61.02,3310.11,58.09,94.12,216.57,83.04,441.8,58.55,111.28
2020-10-28,59.72,3271.03,59.42,89.99,217.11,80.08,422.89,57.8,108.47
2020-10-27,59.46,3390.68,61.69,90.31,207.71,83.01,443.16,59.11,112.1
2020-10-26,64.92,3400.97,59.1,86.92,210.4,81.41,428.96,59.57,111.98
2020-10-23,64.39,3465.39,58.88,86.91,212.04,81.34,429.66,60.8,114.29
2020-10-22,69.37,3453.49,58.56,87.77,209.34,81.31,423.59,60.99,114.09
2020-10-21,68.61,3435.56,56.72,90.23,205.35,82.63,419.73,59.96,114.6
2020-10-20,87.55,3443.12,54.74,89.07,211.87,82.57,420.09,60.76,114.98
2020-10-19,75.63,3426.92,50.08,84.15,210.13,80.61,419.27,59.53,115.26
2020-10-16,69.91,3483.81,49.38,84.02,208.21,81.52,423.75,58.28,117.18
2020-10-15,66.87,3483.34,48.85,82.79,209.79,80.25,422.72,58.4,117.64
2020-10-14,68.03,3488.67,44.46,82.66,203.0,81.1,420.51,58.72,115.8
2020-10-13,62.65,3511.93,46.52,84.65,201.54,82.61,421.42,56.81,116.37
2020-10-12,59.4,3534.22,46.39,84.72,203.99,84.32,419.39,59.05,117.09
2020-10-09,62.84,3477.13,46.05,79.54,205.53,79.79,400.65,60.07,115.21
2020-10-08,54.96,3446.83,48.01,73.41,204.5,78.15,393.51,60.95,114.0
2020-10-07,55.91,3419.45,48.1,74.8,207.04,78.12,386.23,59.94,111.32
2020-10-06,47.77,3360.95,46.405,72.99,207.37,76.69,384.31,58.24,109.68
2020-10-05,48.32,3408.63,47.11,72.07,207.86,76.4,392.37,58.12,109.69
2020-10-02,44.13,3348.44,43.82,71.4,197.75,76.1,383.85,57.25,107.34
2020-10-01,42.74,3380.8,44.76,74.43,196.16,78.57,394.78,57.54,107.22
2020-09-30,39.76,3363.0,43.06,74.15,193.64,77.61,393.11,58.17,105.16
2020-09-29,39.25,3335.47,43.42,73.7,188.14,75.16,385.06,59.39,105.74
2020-09-28,37.77,3351.6,43.68,75.1,190.18,76.1,386.37,60.98,106.16
